student_id,C11,C12,C13,C14,C21,C22,C23,C31,C32,C33,C41,C42,C43
SYN-00027,3.2,3.7,4.1,3.9,4.4,4.1,3.6,3.8,3.8,3.3,3.5,3.6,3.2
SYN-00028,4.3,4.3,3.8,4.5,4.5,4.4,4.2,4.5,4.5,4.4,4.1,4.4,4.7
SYN-00029,3.8,4.6,3.8,4.0,3.8,4.1,3.5,3.8,3.7,4.0,4.3,4.2,3.3
SYN-00030,4.7,4.2,3.9,4.1,4.2,3.9,4.2,3.9,4.0,3.9,3.7,4.1,4.3
SYN-00031,4.1,4.2,4.1,3.8,4.2,3.6,3.7,3.7,4.3,4.3,4.1,4.3,3.7
SYN-00032,5.0,4.8,5.0,4.8,4.7,5.0,5.0,4.6,4.8,4.5,4.1,4.9,5.0
SYN-00033,4.3,3.6,4.1,3.5,4.6,3.9,4.6,4.5,3.9,3.9,4.3,3.9,4.2
SYN-00034,3.7,3.3,3.2,3.9,3.7,3.7,4.0,4.2,3.7,3.7,4.0,3.4,3.9
SYN-00035,4.7,4.7,3.9,4.3,4.2,4.5,4.6,4.9,4.3,4.3,4.8,4.6,4.9
SYN-00036,3.9,3.4,3.4,3.3,4.0,4.1,4.3,4.0,4.1,3.6,3.4,4.0,3.9
SYN-00037,4.3,4.4,4.4,4.7,4.7,4.4,4.5,4.4,4.1,4.5,3.9,4.6,3.9
SYN-00038,3.6,3.3,3.7,3.5,3.0,3.6,3.3,3.8,3.5,3.6,3.2,3.3,3.4
SYN-00039,4.0,4.2,3.5,4.1,3.1,3.4,3.4,3.3,3.3,3.9,3.7,3.8,3.9
SYN-00040,4.3,4.5,4.2,3.9,4.6,4.1,4.0,4.2,4.0,4.1,4.4,4.4,4.0
SYN-00041,4.3,4.8,4.6,5.0,4.8,4.8,4.0,4.7,4.4,4.3,4.5,4.7,4.6
SYN-00042,4.0,4.5,4.1,4.3,4.2,4.2,4.5,3.9,4.8,3.7,4.1,4.4,4.4
SYN-00043,4.1,4.1,4.3,4.1,4.6,4.4,4.4,3.9,4.1,4.1,3.9,4.3,4.0
SYN-00044,4.3,3.8,4.6,3.8,4.2,4.3,3.9,4.4,3.7,4.5,4.1,3.9,4.0
SYN-00045,3.9,3.5,3.5,3.6,3.3,4.2,3.5,3.9,3.7,3.4,3.7,3.9,3.6
SYN-00046,4.3,4.3,4.2,3.8,3.6,3.8,4.0,4.1,3.3,3.9,4.0,3.9,4.3
SYN-00047,4.2,4.4,4.0,4.3,4.5,4.4,3.7,4.0,3.9,4.2,4.2,3.8,4.1
SYN-00048,4.0,5.0,4.4,4.6,4.5,4.9,3.7,4.6,4.5,4.4,5.0,4.3,4.8
SYN-00049,4.4,4.7,4.1,4.1,4.6,4.4,3.9,4.2,4.4,4.6,4.1,3.4,4.5
SYN-00050,3.2,3.0,2.7,3.8,3.6,3.5,4.0,3.8,4.1,3.2,3.6,3.1,3.5
SYN-00051,4.2,4.5,4.3,4.5,4.5,5.0,4.2,4.0,4.4,4.1,4.8,4.2,4.1
SYN-00052,3.9,4.3,4.0,3.9,4.6,3.8,4.1,4.3,3.6,4.2,3.7,4.3,3.8
SYN-00053,4.2,4.3,4.2,4.0,3.9,3.8,4.4,3.8,3.7,4.2,3.7,3.7,3.5
SYN-00054,4.3,4.4,4.5,4.7,4.6,4.4,4.4,4.6,4.8,4.5,4.3,4.1,4.0
SYN-00055,4.8,4.7,4.7,4.5,5.0,4.4,4.8,4.5,4.4,4.7,4.7,4.7,4.6
SYN-00056,4.5,5.0,4.9,4.7,4.6,4.8,4.7,4.5,4.4,4.5,3.6,4.6,4.4
SYN-00057,4.4,3.9,3.5,3.9,3.6,4.0,4.0,4.2,3.7,3.9,3.5,4.1,4.1
SYN-00058,4.2,4.1,4.2,4.6,4.0,4.1,3.8,3.8,4.1,4.4,4.0,4.0,4.0
SYN-00059,4.2,4.4,3.9,4.7,4.1,4.5,3.9,4.5,4.5,4.4,4.0,4.4,4.0
SYN-00060,4.5,4.9,4.8,4.5,4.2,4.7,4.5,3.8,4.8,4.5,4.9,4.2,3.6
SYN-00061,4.1,4.1,3.5,3.7,4.9,3.9,4.3,3.8,3.4,4.0,4.0,3.9,4.0
SYN-00062,4.2,4.1,3.8,4.3,3.6,3.5,4.4,4.3,4.1,3.7,3.9,4.1,3.7
SYN-00063,3.6,4.0,4.2,3.7,4.0,3.2,4.0,3.6,3.9,3.7,4.2,3.6,4.0
SYN-00064,3.7,3.7,3.7,3.5,3.8,3.8,3.9,3.8,4.0,4.1,3.5,4.0,3.4
SYN-00065,4.7,4.7,3.9,4.5,4.3,4.3,4.9,4.3,4.2,4.5,4.7,4.4,4.8
SYN-00066,4.8,4.0,4.5,4.5,4.8,3.9,5.0,4.8,4.7,5.0,5.0,4.9,5.0
SYN-00067,4.2,4.1,4.0,3.9,4.0,3.8,4.2,3.7,4.2,4.2,4.2,4.0,5.0
SYN-00068,5.0,4.2,4.6,4.4,4.2,4.1,4.7,4.3,4.8,4.8,5.0,4.3,4.7
SYN-00069,4.5,4.2,4.1,4.8,4.4,4.5,4.1,4.0,4.2,4.3,4.0,4.3,3.8
SYN-00070,3.6,4.2,4.2,3.9,3.7,3.7,3.9,4.2,4.3,3.8,3.6,4.1,3.7
SYN-00071,4.2,4.7,4.6,4.4,3.9,4.4,4.6,4.2,4.7,4.7,4.8,4.4,4.5
SYN-00072,5.0,4.9,4.6,4.6,4.8,4.4,4.7,5.0,4.1,5.0,5.0,4.6,4.9
SYN-00073,4.2,4.6,4.5,3.8,4.4,4.1,4.2,4.0,4.7,4.5,4.0,3.8,4.1
SYN-00074,4.9,4.8,5.0,5.0,5.0,4.8,4.3,4.7,5.0,4.7,4.9,4.7,4.4
SYN-00075,3.2,3.4,3.1,3.2,3.0,3.6,3.2,3.7,3.7,3.3,3.0,2.7,2.8
SYN-00076,4.1,4.9,4.5,4.6,3.8,4.1,4.8,4.6,4.4,4.7,5.0,4.4,4.5
SYN-00077,4.3,4.9,3.6,4.4,4.2,4.4,4.0,4.2,4.4,5.0,4.5,4.0,4.1
SYN-00078,4.0,3.6,4.0,4.3,3.7,4.4,4.2,3.9,4.1,4.6,4.3,4.1,4.0
SYN-00079,4.3,4.1,3.6,4.8,4.3,4.4,4.2,4.0,4.2,3.8,4.9,3.9,3.9
SYN-00080,3.4,3.9,3.5,3.1,3.9,3.7,3.7,3.7,4.2,4.2,3.3,4.0,3.6
SYN-00081,4.3,3.6,4.1,3.9,4.4,4.4,3.5,4.1,4.5,4.1,4.3,4.2,4.2
SYN-00082,4.2,4.0,4.0,4.5,4.3,4.3,4.2,4.2,4.6,4.2,3.9,4.5,4.3
SYN-00083,4.7,5.0,4.7,4.8,4.4,4.7,4.9,4.3,4.8,4.7,4.7,5.0,4.8
SYN-00084,4.5,3.7,4.1,4.0,3.7,4.3,4.7,4.0,4.2,4.0,3.8,3.5,3.8
SYN-00085,3.5,4.4,3.9,3.8,4.2,3.6,3.7,3.9,4.2,4.1,4.0,3.9,4.0
SYN-00086,4.1,3.7,4.0,3.7,4.0,3.9,4.8,4.0,3.6,4.0,4.2,4.5,3.8
SYN-00087,4.0,4.8,4.1,4.4,4.4,4.5,4.7,4.3,4.4,4.5,4.6,4.5,4.7
SYN-00088,4.6,4.4,4.5,3.8,4.3,4.5,4.5,4.1,4.1,4.1,4.5,4.6,4.2
SYN-00089,4.3,4.1,4.0,4.0,4.2,4.1,4.7,3.8,4.2,3.9,3.8,4.0,4.1
SYN-00090,5.0,4.3,4.0,4.5,3.8,4.4,4.4,4.6,4.7,4.2,4.3,4.1,4.0
SYN-00091,4.3,3.9,4.1,3.9,4.4,4.8,3.8,3.7,4.2,4.2,4.3,4.1,4.2
SYN-00092,4.6,4.9,4.0,4.4,4.6,4.3,5.0,4.3,4.5,4.7,4.4,4.0,4.4
SYN-00093,4.3,3.9,3.7,4.2,3.9,3.8,4.0,4.2,4.7,4.2,4.3,3.8,3.6
SYN-00094,4.1,4.1,3.8,4.0,4.2,4.2,4.2,4.2,3.9,3.9,3.7,4.6,4.1
SYN-00095,4.0,3.8,4.9,3.7,3.9,4.2,4.2,4.4,4.6,4.2,3.7,4.0,4.2
SYN-00096,4.3,3.3,4.0,3.7,3.9,3.7,3.4,3.9,3.9,4.0,3.7,3.5,3.2
SYN-00097,4.5,4.4,4.0,4.1,4.2,3.9,4.1,4.0,4.2,4.1,3.8,4.9,4.7
SYN-00098,4.1,4.4,4.4,4.6,4.0,4.6,4.1,3.9,4.5,4.7,5.0,3.9,4.5
SYN-00099,4.1,4.4,3.8,3.8,4.0,4.2,4.0,4.4,4.5,4.4,4.7,4.3,3.8
SYN-00100,4.5,3.9,4.4,4.6,4.3,3.7,3.8,4.5,4.1,4.1,4.3,4.3,4.2
SYN-00101,3.6,3.6,4.0,3.9,3.6,4.0,3.7,3.4,3.5,3.4,3.6,4.1,3.5
SYN-00102,4.1,3.9,4.0,3.6,4.0,4.0,4.2,4.1,3.7,4.4,4.1,4.1,4.1
SYN-00103,3.9,4.1,4.2,3.6,3.9,4.0,4.2,4.4,3.8,3.9,3.9,3.8,4.0
SYN-00104,4.2,3.6,4.0,3.4,3.8,3.8,4.4,3.8,3.3,3.3,3.9,4.1,4.0
SYN-00105,4.2,4.5,4.0,4.4,3.7,3.9,3.6,4.1,4.1,4.2,4.2,3.9,4.1
SYN-00106,3.9,4.8,4.3,4.2,4.8,4.0,4.0,4.0,4.3,4.5,4.6,5.0,3.7
SYN-00107,5.0,4.7,4.7,4.7,4.6,5.0,5.0,4.9,5.0,4.4,4.5,4.2,4.7
SYN-00108,4.3,4.3,4.3,3.8,4.5,4.3,4.5,3.7,4.4,3.9,4.1,4.4,4.3
SYN-00109,4.0,4.3,3.8,4.6,4.2,4.6,4.1,4.1,4.1,4.6,4.1,4.5,4.2
SYN-00110,3.6,4.0,3.8,4.2,3.8,4.5,4.1,4.1,4.4,4.5,4.2,3.9,3.6
SYN-00111,3.3,3.3,3.6,3.4,3.7,3.3,3.5,3.9,3.6,3.5,3.3,3.3,3.3
SYN-00112,4.0,4.4,4.1,3.8,4.7,4.3,3.8,4.1,4.2,4.7,3.9,4.5,4.6
SYN-00113,4.0,4.1,3.9,4.2,4.2,4.4,4.5,4.0,3.6,4.2,4.3,4.3,4.1
SYN-00114,5.0,5.0,5.0,4.9,4.8,4.9,5.0,4.9,5.0,4.9,5.0,5.0,5.0
SYN-00115,4.2,4.1,3.4,4.4,4.2,4.3,3.9,4.0,4.0,4.4,4.0,4.8,4.3
SYN-00116,3.9,4.3,4.1,3.6,4.8,4.5,4.5,4.4,3.9,4.2,4.6,4.0,3.5
SYN-00117,4.1,4.1,4.2,4.4,4.4,4.3,4.5,3.7,4.3,4.4,3.8,3.7,4.0
SYN-00118,3.6,4.0,3.6,3.5,3.6,4.1,3.8,3.7,3.8,4.2,3.6,4.2,3.9
SYN-00119,4.6,5.0,4.3,4.5,4.2,4.9,5.0,5.0,5.0,4.5,4.5,4.1,5.0
SYN-00120,4.6,4.3,4.9,4.2,4.6,4.4,4.7,4.4,4.0,4.5,4.8,4.5,4.7
SYN-00121,4.2,4.5,4.3,4.7,4.5,4.7,4.8,4.7,4.6,4.2,4.5,4.3,4.4
SYN-00122,3.8,3.6,3.3,3.7,3.9,3.5,3.9,4.5,4.2,4.4,4.0,4.2,3.7
SYN-00123,4.5,3.9,5.0,5.0,4.5,4.6,4.5,4.8,5.0,4.2,4.8,4.6,4.7
SYN-00124,3.8,3.7,3.7,3.6,4.0,3.8,3.8,3.3,3.6,4.0,3.7,3.9,4.2
SYN-00125,4.7,4.4,4.3,3.6,4.4,4.3,4.5,4.4,4.3,3.9,4.1,4.5,4.9
SYN-00126,4.9,5.0,5.0,4.7,5.0,4.7,5.0,5.0,5.0,4.7,5.0,5.0,4.7
SYN-00127,3.8,3.9,4.1,3.7,3.0,4.3,4.1,3.3,3.7,4.3,4.3,4.1,3.8
SYN-00128,4.0,4.0,4.3,3.7,3.8,4.3,4.0,4.4,3.8,4.0,3.7,4.0,3.6
SYN-00129,4.1,3.8,4.4,4.4,3.7,4.6,5.0,4.2,4.0,5.0,3.8,4.2,4.3
SYN-00130,4.4,4.1,3.9,3.7,3.9,3.7,4.0,3.9,3.6,4.4,3.9,3.6,4.0
SYN-00131,3.7,3.1,3.8,3.3,4.2,3.8,3.5,3.4,3.6,3.8,3.6,3.6,3.7
SYN-00132,4.0,4.1,3.6,4.5,4.3,4.0,4.8,4.3,3.9,4.5,4.3,4.3,4.1
SYN-00133,4.0,3.7,4.0,3.3,3.7,4.3,3.6,3.6,3.7,3.5,3.2,3.8,3.9
SYN-00134,4.4,4.3,4.4,4.7,4.3,4.2,4.3,4.5,4.8,4.2,4.4,4.5,4.1
SYN-00135,3.9,3.4,3.3,4.0,3.8,3.9,3.9,3.6,3.9,3.5,4.3,3.5,3.8
SYN-00136,4.4,4.9,4.6,4.6,5.0,4.8,4.9,4.4,4.3,4.8,4.6,4.9,4.7
SYN-00137,4.0,3.4,4.5,3.9,4.1,3.7,4.0,3.5,4.1,3.8,3.9,4.1,3.6
SYN-00138,3.9,4.2,4.7,4.0,4.3,4.1,4.7,3.6,4.1,3.6,3.3,4.2,4.1
SYN-00139,4.4,4.5,5.0,4.4,4.6,4.3,4.6,4.4,4.4,5.0,4.8,4.5,3.8
SYN-00140,3.7,4.6,3.7,4.1,4.2,3.8,3.5,3.0,4.0,3.5,3.8,3.4,3.7
SYN-00141,4.3,4.4,3.9,4.6,4.1,3.8,4.2,4.3,4.3,4.7,4.2,4.2,3.9
SYN-00142,4.9,4.7,4.5,4.1,5.0,4.3,4.5,4.8,4.3,4.2,4.0,4.9,4.5
SYN-00143,4.5,3.3,3.4,3.5,3.7,3.5,3.8,3.3,3.2,3.1,3.0,3.5,3.5
SYN-00144,4.1,4.6,4.6,4.2,3.7,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.3
SYN-00145,4.4,4.0,4.7,4.0,3.8,4.4,4.0,4.4,3.6,4.7,4.5,3.8,3.8
SYN-00146,5.0,4.3,4.2,3.8,4.4,4.4,4.7,4.1,4.0,4.6,4.8,4.0,4.8
SYN-00147,3.8,4.1,3.7,3.0,3.7,4.1,3.5,3.7,3.7,2.9,4.3,3.5,3.9
SYN-00148,3.7,4.1,3.9,3.7,3.5,4.0,3.2,3.9,3.4,4.1,3.8,3.9,3.8
SYN-00149,3.9,4.1,4.6,4.4,4.7,4.5,4.1,4.1,4.4,3.7,4.9,4.5,4.8
SYN-00150,3.8,4.7,5.0,3.9,4.5,4.3,3.8,4.5,4.6,4.1,4.7,3.8,3.9
SYN-00151,4.3,4.3,4.1,4.5,4.4,4.5,4.3,4.5,4.2,4.9,4.0,4.9,4.3
SYN-00152,3.9,4.7,4.4,4.6,4.7,4.4,4.1,4.6,4.3,4.5,3.7,4.5,4.1
SYN-00153,4.5,4.1,4.0,4.1,3.7,4.4,4.6,4.1,4.4,3.8,3.7,4.0,4.1
SYN-00154,4.2,4.4,4.4,4.0,4.4,4.5,4.3,4.6,3.9,4.4,3.9,3.9,4.1
SYN-00155,4.0,4.1,4.2,4.6,4.2,3.8,4.6,4.1,4.3,4.4,4.4,4.6,4.4
SYN-00156,3.7,4.6,4.0,3.9,4.2,4.0,4.1,4.7,3.9,3.9,4.0,4.3,3.5
SYN-00157,4.3,4.7,4.4,4.7,5.0,4.6,4.4,4.9,5.0,4.3,5.0,5.0,5.0
SYN-00158,4.7,5.0,4.3,4.4,4.2,4.4,4.8,4.0,4.1,4.8,4.7,4.3,4.6
SYN-00159,3.9,4.2,3.8,4.1,4.6,4.0,3.8,4.0,3.7,4.5,3.8,3.7,3.5
SYN-00160,4.8,4.7,4.3,4.6,4.0,4.5,4.6,4.9,4.2,4.0,4.2,4.0,4.8
SYN-00161,4.3,4.0,4.2,3.9,3.8,3.8,3.8,3.4,3.9,3.8,4.1,3.9,3.8
SYN-00162,4.2,4.5,4.7,4.1,4.5,4.5,4.3,4.3,4.5,4.1,4.6,4.2,4.8
SYN-00163,5.0,4.3,4.8,4.4,4.9,4.2,4.7,4.3,4.5,4.3,4.9,4.4,4.8
SYN-00164,3.8,3.9,4.0,3.7,4.0,4.4,3.7,4.3,4.4,3.7,3.5,4.0,3.7
SYN-00165,5.0,4.5,4.3,4.2,4.9,4.4,4.6,4.8,4.4,4.5,4.5,4.7,4.7
SYN-00166,4.3,4.4,4.2,3.9,4.4,4.9,4.1,4.1,4.1,4.6,4.5,4.3,4.1
SYN-00167,4.5,4.0,4.5,4.7,4.1,4.0,5.0,4.3,4.8,4.4,4.4,4.6,4.2
SYN-00168,4.9,4.7,4.5,5.0,4.8,4.8,4.5,5.0,5.0,5.0,4.8,4.3,5.0
SYN-00169,4.1,3.9,4.2,4.5,4.1,4.5,4.4,3.8,3.9,4.4,3.3,4.1,3.7
SYN-00170,3.8,3.8,3.8,3.8,3.6,4.6,4.5,3.6,4.4,3.8,4.0,3.9,3.7
SYN-00171,4.2,3.9,3.7,3.5,3.6,3.4,3.9,3.5,3.8,4.3,4.2,3.9,3.9
SYN-00172,4.5,4.1,3.8,3.5,4.0,4.2,3.7,4.0,3.8,3.9,3.2,3.8,4.2
SYN-00173,4.0,4.2,3.9,4.3,4.1,3.9,4.6,4.5,4.0,4.3,4.3,4.4,3.7
SYN-00174,4.6,4.1,4.2,5.0,4.4,4.2,3.7,4.7,3.9,4.0,4.2,4.7,4.6
SYN-00175,4.2,4.4,4.1,4.3,4.3,4.6,4.6,4.4,4.2,4.5,4.3,4.0,4.2
SYN-00176,4.5,4.8,4.4,4.1,4.5,4.5,4.5,4.8,4.8,4.3,4.3,4.2,4.7
SYN-00177,4.6,4.1,4.1,4.6,4.4,4.3,3.8,4.4,3.9,3.9,4.1,4.0,4.1
SYN-00178,4.3,5.0,5.0,4.1,5.0,4.5,5.0,4.7,4.7,4.7,5.0,4.3,4.9
SYN-00179,4.4,4.3,4.8,3.9,4.4,4.1,4.5,4.1,4.0,4.5,4.0,3.7,4.0
SYN-00180,5.0,5.0,5.0,5.0,4.6,4.9,4.9,5.0,5.0,5.0,4.9,5.0,5.0
SYN-00181,4.1,4.4,4.4,4.4,4.4,4.4,4.3,4.8,4.1,4.2,5.0,4.1,4.0
SYN-00182,4.1,3.3,3.8,4.5,3.4,3.3,3.5,4.2,4.2,3.7,4.1,4.3,4.4
SYN-00183,3.8,3.1,3.6,3.7,3.7,3.8,4.2,4.2,3.8,4.2,3.9,3.8,4.1
SYN-00184,4.4,5.0,3.9,4.2,4.3,4.5,4.7,4.4,3.9,4.6,4.6,3.8,4.4
SYN-00185,3.6,3.9,3.9,4.4,4.2,3.7,4.4,3.7,4.2,3.9,4.0,4.3,4.3
SYN-00186,4.9,4.4,4.5,4.3,4.5,4.6,4.4,3.9,4.5,4.6,4.2,4.1,4.9
SYN-00187,4.5,4.3,4.0,4.1,4.8,4.4,4.2,4.5,4.1,4.8,4.8,4.2,4.2
SYN-00188,3.4,3.7,3.8,4.2,4.1,3.8,4.1,4.3,4.3,3.6,4.1,3.8,4.4
SYN-00189,4.1,3.6,3.7,3.8,3.2,4.0,3.8,4.2,3.6,3.7,3.5,3.6,3.5
SYN-00190,4.0,3.5,3.7,3.6,3.3,3.6,3.8,3.3,3.9,3.4,3.5,3.8,3.5
SYN-00191,4.1,3.9,4.1,3.3,3.5,4.2,4.4,3.8,4.0,4.1,4.3,3.4,3.8
SYN-00192,4.4,4.7,5.0,4.4,4.1,4.6,4.9,4.5,4.2,4.8,4.7,4.2,4.6
SYN-00193,4.6,4.6,4.3,4.2,4.6,3.9,4.4,3.9,4.6,4.2,4.7,4.4,3.9
SYN-00194,4.2,4.2,4.0,3.5,3.7,3.8,3.6,4.3,3.8,3.0,3.9,3.7,3.7
SYN-00195,4.2,4.5,4.6,4.3,4.2,4.2,4.3,4.0,4.4,4.4,4.7,4.6,4.1
SYN-00196,4.6,4.0,4.5,4.2,4.0,4.4,3.5,3.8,4.3,4.4,4.2,3.9,4.1
SYN-00197,4.0,4.1,3.9,4.2,4.0,3.7,3.8,3.5,3.9,4.2,4.1,4.3,3.8
SYN-00198,4.7,4.2,4.7,4.2,4.5,4.7,4.2,4.3,4.6,4.2,3.9,4.9,4.1
SYN-00199,4.3,4.6,4.0,3.9,4.3,3.7,4.1,4.3,4.1,3.8,4.7,4.3,4.6
SYN-00200,3.7,3.5,3.9,3.7,3.4,4.2,3.6,3.2,4.2,3.6,3.6,3.3,4.3
SYN-00201,3.9,4.3,4.6,4.5,4.3,3.8,4.1,4.4,4.1,4.4,4.5,4.6,4.0
SYN-00202,5.0,4.6,4.4,4.7,5.0,4.0,4.3,3.7,4.5,4.5,4.4,4.2,3.8
SYN-00203,4.7,5.0,4.4,4.7,4.1,4.7,4.5,4.4,4.4,4.5,4.7,4.2,4.5
SYN-00204,4.6,4.2,5.0,4.3,4.4,4.3,5.0,4.7,4.3,4.9,4.6,4.6,4.5
SYN-00205,3.5,3.8,3.6,4.3,3.3,4.2,3.7,3.8,4.0,3.5,4.0,2.9,3.5
SYN-00206,3.6,3.5,3.8,4.0,4.1,3.9,3.7,4.0,3.9,4.2,4.1,3.9,3.6
SYN-00207,4.2,4.2,4.3,4.5,4.6,4.4,4.4,4.4,4.2,4.1,3.9,4.2,4.5
SYN-00208,4.2,4.3,4.5,4.5,4.1,4.7,4.7,4.0,4.1,4.7,4.3,3.7,4.0
SYN-00209,4.3,4.0,4.3,4.4,4.8,4.3,4.7,4.8,4.8,4.5,3.8,4.5,4.7
SYN-00210,5.0,5.0,5.0,5.0,5.0,5.0,4.3,4.9,5.0,4.8,4.9,4.7,5.0
SYN-00211,4.9,4.1,4.4,4.2,4.6,4.6,4.6,4.5,5.0,4.1,3.9,4.3,3.9
SYN-00212,4.1,4.3,4.3,4.3,4.8,4.4,4.5,4.9,4.4,4.5,4.7,4.0,3.9
SYN-00213,4.6,4.7,5.0,4.6,4.8,4.5,4.6,5.0,3.9,4.7,5.0,4.6,5.0
SYN-00214,4.2,4.4,4.4,3.8,4.1,4.1,4.7,4.7,4.5,4.7,4.4,4.8,4.4
SYN-00215,4.1,4.0,4.3,4.0,4.4,3.8,3.8,4.3,4.1,4.0,4.4,3.9,4.0
SYN-00216,4.9,4.9,4.9,4.4,4.8,4.2,4.2,3.8,5.0,4.2,4.4,4.2,4.7
SYN-00217,3.8,3.5,4.1,3.5,3.7,3.3,3.5,4.0,3.3,3.5,3.9,3.8,4.5
SYN-00218,4.7,3.9,4.3,4.3,3.9,3.7,4.1,4.1,4.0,4.2,3.9,3.8,4.1
SYN-00219,4.1,3.7,4.3,3.5,3.9,4.0,3.8,3.9,4.6,3.8,4.8,4.2,4.1
SYN-00220,4.4,5.0,3.9,3.9,4.0,4.2,3.7,4.2,4.7,4.3,4.1,4.0,4.5
SYN-00221,4.8,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,4.6,5.0,5.0,4.6
SYN-00222,3.4,3.1,3.3,3.7,3.3,3.5,3.1,3.6,3.5,3.3,3.5,3.6,3.3
SYN-00223,4.0,5.0,4.3,4.4,4.7,5.0,4.1,4.6,4.2,4.3,4.2,4.1,4.4
SYN-00224,3.2,3.9,3.7,3.8,3.5,3.5,3.7,3.3,3.5,3.4,3.4,3.0,4.0
SYN-00225,3.8,4.4,4.4,3.6,3.7,4.8,4.6,4.0,4.1,3.8,4.2,3.8,3.4
SYN-00226,4.2,4.6,4.2,4.6,4.3,4.3,4.8,4.7,4.6,4.8,4.7,5.0,4.4
SYN-00227,4.1,3.8,4.1,4.5,4.6,4.5,3.7,4.5,3.7,4.5,4.1,4.4,3.8
SYN-00228,4.2,3.4,3.6,3.5,3.3,3.9,4.4,4.6,3.9,4.2,3.9,4.0,3.7
SYN-00229,4.0,4.1,3.8,3.9,3.9,4.2,3.6,3.9,4.5,4.3,4.4,4.0,4.0
SYN-00230,4.7,4.9,3.9,4.0,4.8,4.4,4.2,4.1,4.3,4.0,5.0,4.4,4.4
SYN-00231,4.1,4.2,4.2,4.3,3.8,3.9,4.2,3.8,3.9,4.1,4.2,3.4,4.2
SYN-00232,4.2,4.5,4.5,4.8,4.7,4.7,4.7,4.4,4.3,4.5,4.5,4.2,4.4
SYN-00233,4.2,4.0,4.6,4.2,4.8,3.7,4.0,4.2,4.6,4.3,4.3,3.9,3.9
SYN-00234,4.1,3.6,3.8,4.1,3.7,4.5,4.3,3.5,3.7,3.3,3.7,4.2,3.8
SYN-00235,5.0,4.5,5.0,4.8,5.0,4.9,4.6,4.6,5.0,5.0,5.0,5.0,5.0
