Alternatif,C11,C12,C13,C14,C21,C22,C23,C31,C32,C33,C41,C42,C43
Siswa_44,3,4,5,4,5,4,5,5,2,3,2,4,4
Siswa_45,2,3,2,3,4,4,4,5,5,4,4,4,3
Siswa_46,3,4,2,3,5,3,5,4,5,3,3,4,5
Siswa_47,3,4,5,4,3,4,4,4,5,4,3,4,3
Siswa_48,5,3,4,4,2,3,3,4,4,3,4,3,4
Siswa_49,4,3,4,3,2,3,4,4,4,5,5,3,4
Siswa_50,2,2,4,3,5,2,5,2,4,4,4,4,5
Siswa_51,4,3,3,3,4,3,4,3,4,3,4,2,3
Siswa_52,3,4,3,1,3,2,4,2,4,4,5,1,3
Siswa_53,3,4,4,2,4,3,5,4,4,5,4,4,3
Siswa_54,4,2,3,5,2,5,5,4,3,4,5,4,3
Siswa_55,5,4,4,5,5,3,5,3,3,4,4,1,4
Siswa_56,4,4,3,3,4,5,4,5,3,2,2,2,2
Siswa_57,3,3,3,4,4,4,3,2,2,2,4,4,2
Siswa_58,3,4,3,4,4,4,4,2,3,3,4,5,2
Siswa_59,4,4,4,5,4,3,5,4,3,3,5,4,4
Siswa_60,4,2,3,5,4,4,3,5,2,3,4,3,5
Siswa_61,3,4,3,3,3,3,4,5,4,4,3,3,3
Siswa_62,3,4,4,3,4,4,3,3,5,4,2,5,3
Siswa_63,2,5,4,2,5,5,4,5,4,3,3,3,4
Siswa_64,2,5,3,4,5,3,5,3,2,4,3,3,5
Siswa_65,4,2,3,3,5,5,4,3,3,4,3,3,3
Siswa_66,5,3,4,2,3,3,4,4,4,2,4,3,4
Siswa_67,3,4,2,3,3,3,2,4,3,3,5,4,4
Siswa_68,5,4,2,2,3,5,4,2,3,3,4,5,4
Siswa_69,4,4,3,5,4,3,4,5,4,2,2,4,4
Siswa_70,3,5,3,4,5,5,5,5,3,4,4,3,5
Siswa_71,4,4,4,3,2,4,3,3,4,5,5,3,1
Siswa_72,5,5,5,5,5,3,4,4,2,5,3,2,4
Siswa_73,3,4,4,4,3,4,4,4,3,3,3,4,3
Siswa_74,5,4,3,3,3,4,5,4,4,5,4,3,2
Siswa_75,1,3,3,5,2,4,3,3,2,4,3,3,4
Siswa_76,4,4,2,4,2,2,4,3,4,3,4,5,5
Siswa_77,4,3,3,2,4,3,4,3,3,3,3,4,3
Siswa_78,3,3,3,3,4,3,4,5,4,3,4,3,4
Siswa_79,4,3,4,3,2,3,3,4,4,3,3,3,5
Siswa_80,2,4,3,2,2,4,4,3,5,4,3,5,5
Siswa_81,3,5,4,4,3,4,5,4,4,4,4,4,5
Siswa_82,4,2,5,5,5,2,2,1,3,4,3,2,4
Siswa_83,5,4,3,2,3,4,4,5,4,4,5,4,4
Siswa_84,3,2,4,4,2,4,3,2,4,5,3,3,2
Siswa_85,3,3,4,3,3,4,5,3,4,4,4,5,3
Siswa_86,3,5,3,3,3,5,2,2,4,2,4,5,3
Siswa_87,4,4,4,3,1,4,3,2,3,1,2,3,5
Siswa_88,4,2,4,3,3,4,4,5,3,4,2,5,3
Siswa_89,3,3,4,4,3,3,5,3,2,2,2,4,4
Siswa_90,4,4,3,3,4,2,3,4,5,3,5,4,4
Siswa_91,4,3,4,4,5,4,3,3,2,2,3,4,4
Siswa_92,4,4,4,3,5,4,5,4,3,2,5,3,5
Siswa_93,3,4,5,3,3,4,2,4,3,4,3,3,3
Siswa_94,3,3,4,3,2,2,1,2,4,4,4,5,4
Siswa_95,3,5,5,3,5,2,4,4,3,3,5,3,3
Siswa_96,2,4,3,4,4,5,3,3,5,1,5,3,2
Siswa_97,4,1,4,4,4,3,2,2,3,3,5,3,3
Siswa_98,4,4,4,3,3,4,4,3,4,4,5,4,3
Siswa_99,4,3,5,4,4,4,4,5,3,2,5,5,3
Siswa_100,3,4,3,4,3,4,3,4,5,4,4,2,3
Siswa_101,2,3,3,2,3,4,2,3,2,3,4,4,2
Siswa_102,3,3,3,4,3,3,4,3,4,4,3,5,3
Siswa_103,3,4,1,3,3,4,4,3,4,4,3,3,2
Siswa_104,3,4,3,4,3,3,3,5,4,3,3,4,4
Siswa_105,3,2,3,3,3,3,5,4,3,5,3,2,4
Siswa_106,4,3,4,2,4,3,2,4,3,3,3,4,2
Siswa_107,5,3,4,2,3,4,2,5,4,3,4,3,3
Siswa_108,4,3,5,4,5,3,3,4,3,3,4,4,3
Siswa_109,4,5,4,4,1,5,3,3,4,3,4,5,4
Siswa_110,3,4,3,3,5,3,4,3,5,3,5,5,5
Siswa_111,2,2,3,4,5,3,3,3,3,3,2,4,2
Siswa_112,3,4,4,2,1,3,4,3,2,5,3,4,4
Siswa_113,4,5,2,3,3,5,2,4,3,2,3,4,3
Siswa_114,5,5,5,2,3,4,5,4,5,2,2,3,4
Siswa_115,3,2,5,3,2,5,3,4,3,5,3,4,4
Siswa_116,4,3,3,4,3,2,5,3,5,3,3,3,3
Siswa_117,3,5,2,3,2,4,4,4,5,3,5,4,3
Siswa_118,2,3,5,3,5,4,4,2,3,5,4,5,3
Siswa_119,5,4,3,5,4,4,4,4,4,3,2,2,5
Siswa_120,4,4,5,3,5,5,4,4,5,5,5,5,4
Siswa_121,4,3,2,4,4,3,4,4,3,4,5,5,5
Siswa_122,3,3,3,2,2,5,5,1,3,3,4,3,3
Siswa_123,5,1,4,4,3,5,4,5,3,5,3,1,3
Siswa_124,2,2,4,5,4,3,4,3,2,3,3,3,2
Siswa_125,4,3,3,1,2,3,3,5,3,4,3,5,2
Siswa_126,5,2,4,3,4,5,5,2,2,4,5,3,2
Siswa_127,3,5,2,4,3,5,3,4,4,5,5,3,4
Siswa_128,3,2,3,3,3,3,5,2,3,5,5,3,4
Siswa_129,4,3,4,4,4,3,3,3,4,4,3,4,2
Siswa_130,3,4,4,3,4,3,2,5,2,3,2,4,4
Siswa_131,2,5,4,4,3,2,4,3,4,4,4,3,3
Siswa_132,4,2,2,3,5,3,3,4,4,3,2,3,4
Siswa_133,2,5,2,5,2,2,4,4,2,5,4,3,5
Siswa_134,4,4,5,4,4,3,3,4,4,4,3,3,4
Siswa_135,3,3,4,4,4,3,3,4,5,3,3,5,3
Siswa_136,5,4,3,3,3,4,2,4,2,4,2,3,3
Siswa_137,3,4,5,3,4,5,3,5,5,2,4,5,1
Siswa_138,3,3,4,3,2,3,1,3,4,3,3,5,3
Siswa_139,4,4,5,4,4,4,2,4,3,5,2,4,3
Siswa_140,2,3,4,3,3,3,4,5,3,3,1,3,3
